Account,Email Date,Subject,Type,Brand,Product ID,Product Name
yjw0817@gmail.com,"Nov 11, 2025, 4:20 PM",(심사번호: 499608717 - 심사중) [쿠팡/Coupang] 유통경로 확인 요청 안내(Please provide proof of purchase)_A01294438_푸마,multiple,푸마,15859206955,Puma 376783027 Tustin Fusion 슬립온 Puma 블랙 퓨마 화이트 7 여성용
yjw0817@gmail.com,"Nov 11, 2025, 4:20 PM",(심사번호: 499608717 - 심사중) [쿠팡/Coupang] 유통경로 확인 요청 안내(Please provide proof of purchase)_A01294438_푸마,multiple,푸마,15859274850,"PUMA 여성용 Mattr Soto Ss 폴로, 모브드 아웃 화이트 글로, XS"
yjw0817@gmail.com,"Nov 11, 2025, 4:20 PM",(심사번호: 499608717 - 심사중) [쿠팡/Coupang] 유통경로 확인 요청 안내(Please provide proof of purchase)_A01294438_푸마,multiple,푸마,15859318158,"PUMA 여성용 You-v 솔리드 1/4 지퍼, Puma 블랙 쉐이드, S"
yjw0817@gmail.com,"Nov 11, 2025, 4:16 PM",(심사번호: 499604101 - 심사중) [쿠팡/Coupang] 유통경로 확인 요청 안내(Please provide proof of purchase)_A01294438_타이틀리스트,multiple,타이틀리스트,15859180074,"Titleist 골프 플레이어 볼 마커 모자 2025, 블랙|화이트., 단일 사이즈"
yjw0817@gmail.com,"Nov 11, 2025, 4:16 PM",(심사번호: 499604101 - 심사중) [쿠팡/Coupang] 유통경로 확인 요청 안내(Please provide proof of purchase)_A01294438_타이틀리스트,multiple,타이틀리스트,15859245176,"TITLEIST HJ22CCM BKWT Players Performance Ball Marker Cap, Black x White Men's"
yjw0817@gmail.com,"Nov 11, 2025, 3:05 PM",(심사번호: 499577232 - 심사중) [쿠팡/Coupang] 유통경로 확인 요청 안내(Please provide proof of purchase)_A01294438_언더아머,multiple,언더아머,15859067904,Under Armour 남성용 발세츠 RTS 1.5 밀리터리 텍티컬 부츠 블랙 (001
yjw0817@gmail.com,"Nov 11, 2025, 3:05 PM",(심사번호: 499577232 - 심사중) [쿠팡/Coupang] 유통경로 확인 요청 안내(Please provide proof of purchase)_A01294438_언더아머,multiple,언더아머,15859067940,"Under Armour 남성용 Valsetz Rts 1.5 밀리터리 및 전술 부츠, 블랙/블랙"
yjw0817@gmail.com,"Nov 11, 2025, 3:05 PM",(심사번호: 499577232 - 심사중) [쿠팡/Coupang] 유통경로 확인 요청 안내(Please provide proof of purchase)_A01294438_언더아머,multiple,언더아머,15859210208,Under Armour 여성용 HOVR 페이드 스파이크리스 골프화 화이트 101/베타 5.5
yjw0817@gmail.com,"Nov 11, 2025, 4:16 PM",(심사번호: 499603851 - 심사중) [쿠팡/Coupang] 유통경로 확인 요청 안내(Please provide proof of purchase)_A01294438_뉴발란스,multiple,뉴발란스,15859176741,"New Balance 여성용 574 Greens V2 골프화, 도브/핑크"
yjw0817@gmail.com,"Nov 11, 2025, 4:16 PM",(심사번호: 499603851 - 심사중) [쿠팡/Coupang] 유통경로 확인 요청 안내(Please provide proof of purchase)_A01294438_뉴발란스,multiple,뉴발란스,15859197013,"New Balance 남성용 골프화, 화이트/그레이, 9 와이드"
